,name,place_id,types,lat,lng,rating,user_ratings_total,Tag,Busy_Time
10,漁光島,ChIJ87qwKf11bjQRMuEmcom6RX8,"['tourist_attraction', 'point_of_interest', 'establishment']",22.981044,120.1556693,4.3,15878,"['全部', '海風', '沖洗']","[['4時', '0%'], ['5時', '2%'], ['6時', '4%'], ['7時', '7%'], ['8時', '10%'], ['9時', '12%'], ['目前繁忙程度：100%', '14%)'], ['11時', '15%'], ['12時', '16%'], ['13時', '17%'], ['14時', '22%'], ['15時', '42%'], ['16時', '73%'], ['17時', '88%'], ['18時', '67%'], ['19時', '31%'], ['20時', '8%'], ['21時', '0%'], ['22時', '1%'], ['23時', '1%'], ['0時', '1%'], ['1時', '1%'], ['2時', '1%'], ['3時', '1%']]"
11,龍崗天橋(四鯤鯓海景天橋),ChIJd4LY7411bjQR-C5ZbbEMvRE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9610739,120.1683404,4,807,"['全部', '海', '風景', '散步', '運動', '日落', '步道', '腳踏車', '視野', '煙火', '狗']","[['4時', '1%'], ['5時', '1%'], ['6時', '0%'], ['7時', '2%'], ['8時', '4%'], ['9時', '6%'], ['10時', '8%'], ['目前繁忙程度：27%', '10%)'], ['12時', '11%'], ['13時', '11%'], ['14時', '14%'], ['15時', '26%'], ['16時', '54%'], ['17時', '78%'], ['18時', '68%'], ['19時', '34%'], ['20時', '9%'], ['21時', '0%'], ['22時', '1%'], ['23時', '1%'], ['0時', '1%'], ['1時', '1%'], ['2時', '1%'], ['3時', '1%']]"
12,台江國家公園管理處行政中心,ChIJAV0H0pTYbTQRuS5hyXnarzE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.0028705,120.1362648,4.2,16604,"['全部', '生態', '船', '建築', '紅樹林', '濕地', '遊客中心', '白色', '水鳥', '潮間帶']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '39%'], ['10時', '47%'], ['11時', '53%'], ['12時', '55%'], ['13時', '55%'], ['14時', '62%'], ['15時', '81%'], ['16時', '100%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
13,鹽水溪口濕地,ChIJfYU1LaXYbTQRa32oMpF9EqE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.0031386,120.1425234,4.6,124,"['全部', '生態', '蟹', '堤', '船', '單車', '蚵', '橋']","[['4時', '3%'], ['5時', '10%'], ['6時', '16%'], ['7時', '20%'], ['8時', '20%'], ['9時', '17%'], ['10時', '13%'], ['11時', '11%'], ['12時', '10%'], ['13時', '9%'], ['14時', '9%'], ['15時', '10%'], ['16時', '31%'], ['17時', '100%'], ['18時', '51%'], ['19時', '3%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%'], ['0時', '0%'], ['1時', '0%'], ['2時', '0%'], ['3時', '0%']]"
14,台江漁樂園,ChIJddor9bbYbTQRZH1q5sC3LL0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0000339,120.1389125,4.3,705,"['全部', '生態', '船', '紅樹林', '蚵', '濕地', '水鳥']",[]
15,戀愛廣場,ChIJcdHj06zYbTQRlGEje2beEFo,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9912702,120.1514568,3.7,1138,"['全部', '煙火', '釣魚', '無聊', '海風', '地標', '約會', '夜景']","[['4時', '1%'], ['5時', '1%'], ['6時', '0%'], ['7時', '4%'], ['8時', '8%'], ['9時', '12%'], ['10時', '15%'], ['目前繁忙程度：55%', '17%)'], ['12時', '18%'], ['13時', '20%'], ['14時', '27%'], ['15時', '44%'], ['16時', '64%'], ['17時', '71%'], ['18時', '59%'], ['19時', '42%'], ['20時', '33%'], ['21時', '31%'], ['22時', '29%'], ['23時', '24%'], ['0時', '16%'], ['1時', '7%'], ['2時', '0%'], ['3時', '1%']]"
16,碧海風景碼頭,ChIJw5oQhazYbTQRWkgRL0e59IQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.992695,120.152568,4.8,4,[],[]
17,世平二號公園,ChIJTyHy363YbTQRERNi8OZScZs,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.996672,120.148899,3.5,55,[],[]
18,黃金海岸,ChIJMTD9H3J1bjQRC0l1HyDH3rQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9332088,120.1762577,4,4177,"['全部', '垃圾', '海風', '沙', '規劃', '施工', '攤販', '浪漫', '約會', '工程']","[['4時', '5%'], ['5時', '8%'], ['6時', '12%'], ['7時', '15%'], ['8時', '17%'], ['9時', '20%'], ['10時', '21%'], ['11時', '21%'], ['12時', '20%'], ['13時', '20%'], ['14時', '25%'], ['15時', '41%'], ['16時', '72%'], ['17時', '100%'], ['18時', '96%'], ['19時', '63%'], ['目前繁忙程度：100%', '26%)'], ['21時', '5%'], ['22時', '1%'], ['23時', '1%'], ['0時', '1%'], ['1時', '1%'], ['2時', '0%'], ['3時', '2%']]"
19,作夥憩海邊民宿（防疫一起加油-人工確實check-in以保障每一組房客/落實量額溫/加強消毒）| 榮獲百大好客民宿 | 官網最低價 | 國旅卡（Taiowan One Piece House）,ChIJ3WmuE6_YbTQRFuuYY_K_hn4,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",22.9999584,120.1507503,4.8,85,[],[]
20,湖濱水鳥公園,ChIJ4w_CbqbYbTQRVQQnyLK_1x4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.002768,120.1541515,4.3,71,"['全部', '自行車道', '散步', '河川', '舒服', '水鳥', '堤防', '生態', '海岸', '景觀', '夏']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '49%'], ['10時', '60%'], ['11時', '60%'], ['12時', '52%'], ['13時', '43%'], ['14時', '49%'], ['15時', '78%'], ['16時', '100%'], ['17時', '78%'], ['18時', '32%'], ['19時', '1%'], ['20時', '1%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
21,億載公園,ChIJF0WpAgB2bjQRhBZGgNZY7lk,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9898824,120.1589496,4.3,280,"['全部', '運動', '散步', '樹', '小孩', '舒服', '步道', '古蹟', '花', '綠']","[['4時', '0%'], ['5時', '1%'], ['6時', '24%'], ['7時', '56%'], ['8時', '83%'], ['9時', '87%'], ['10時', '65%'], ['11時', '31%'], ['12時', '5%'], ['13時', '0%'], ['14時', '2%'], ['15時', '40%'], ['16時', '80%'], ['17時', '68%'], ['18時', '22%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%'], ['0時', '0%'], ['1時', '0%'], ['2時', '0%'], ['3時', '0%']]"
22,灣裡萬年殿,ChIJR2dw5HJ1bjQRLyGcRqAYrK0,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.9333033,120.1800769,4.5,399,"['全部', '廟宇', '歷史', '船', '公園', '靈', '宗教']","[['5時', '0%'], ['6時', '16%'], ['7時', '31%'], ['8時', '45%'], ['9時', '54%'], ['10時', '59%'], ['11時', '58%'], ['12時', '58%'], ['13時', '64%'], ['14時', '78%'], ['15時', '93%'], ['16時', '100%'], ['17時', '92%'], ['18時', '74%'], ['19時', '53%'], ['目前繁忙程度：27%', '36%)'], ['21時', '0%'], ['22時', '0%']]"
23,林默娘公園,ChIJG1xPEc5yBxQRiCoswkya8qw,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22.9938758,120.1571958,4.3,7653,"['全部', '風箏', '遛狗', '海風', '踏青', '攤販', '腹地', '船', '大便', '港口', '鴿子']","[['4時', '2%'], ['5時', '1%'], ['6時', '2%'], ['7時', '5%'], ['8時', '10%'], ['9時', '13%'], ['10時', '15%'], ['目前繁忙程度：93%', '14%)'], ['12時', '12%'], ['13時', '13%'], ['14時', '20%'], ['15時', '36%'], ['16時', '54%'], ['17時', '63%'], ['18時', '56%'], ['19時', '37%'], ['20時', '17%'], ['21時', '5%'], ['22時', '1%'], ['23時', '2%'], ['0時', '4%'], ['1時', '6%'], ['2時', '6%'], ['3時', '4%']]"
24,新百祿燕窩觀光工廠,ChIJYxg5j-t1bjQRJu2jTIRgzuk,"['tourist_attraction', 'point_of_interest', 'establishment']",22.967474,120.176636,4,730,"['全部', 'DIY', '知識', '產品', '推銷', '製造', '寓教於樂', '行程', '毛', '學習']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '1%'], ['10時', '4%'], ['11時', '7%'], ['12時', '9%'], ['13時', '9%'], ['14時', '6%'], ['15時', '2%'], ['16時', '1%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
25,台南安平-夕遊出張所,ChIJR0ctuxp2bjQRcIg1Va6v9Bc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0025611,120.1563263,4,5593,"['全部', '生日', '顏色', '沙', '日式建築', '紀念品', '雪', '日據時代', '商業化', '印章', '安平古堡']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '0%'], ['10時', '26%'], ['11時', '46%'], ['12時', '63%'], ['13時', '69%'], ['14時', '67%'], ['15時', '68%'], ['16時', '73%'], ['17時', '68%'], ['18時', '51%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
26,安平海關 運河博物館,ChIJVWDJTwN2bjQRvUryDHYDEnc,"['tourist_attraction', 'cafe', 'museum', 'food', 'point_of_interest', 'establishment']",22.9985161,120.1639519,4.1,469,"['全部', '空間', '建築', '悠閒', '夕陽', '隧道', '草地', '窗', '景觀', '看書', '日治時期']",[]
27,東興洋行,ChIJJ9emiKfYbTQRM528BGBb5cY,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0017694,120.1589444,4,300,"['全部', '古蹟', '建築', '感覺', '啤酒', '安平古堡', '榕樹', '鯨', '老街', '日治時期', '磚']",[]
28,安平老街,ChIJ_____wN2bjQRIOio8uGV_Og,"['jewelry_store', 'tourist_attraction', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",23.000728,120.1617807,4.2,28810,"['全部', '蜜餞', '攤販', '安平古堡', '懷舊', '小巷', '伴手禮', '攤位', '遊客', '人文']","[['4時', '1%'], ['5時', '1%'], ['6時', '1%'], ['7時', '5%'], ['8時', '11%'], ['9時', '17%'], ['10時', '24%'], ['目前繁忙程度：100%', '31%)'], ['12時', '38%'], ['13時', '46%'], ['14時', '57%'], ['15時', '67%'], ['16時', '70%'], ['17時', '63%'], ['18時', '48%'], ['19時', '31%'], ['20時', '17%'], ['21時', '9%'], ['22時', '6%'], ['23時', '4%'], ['0時', '3%'], ['1時', '2%'], ['2時', '1%'], ['3時', '1%']]"
29,英商德記洋行（台灣開拓史料蠟像館）,ChIJo7avkR12bjQR9Gvc2sRtx40,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.0034467,120.1597835,4.2,10325,"['全部', '門票', '自然', '榕樹', '景觀', '倉庫', '歷史景點', '收費', '動線', '白色']","[['6時', '0%'], ['7時', '0%'], ['8時', '6%'], ['9時', '14%'], ['10時', '25%'], ['目前繁忙程度：100%', '34%)'], ['12時', '40%'], ['13時', '41%'], ['14時', '47%'], ['15時', '60%'], ['16時', '64%'], ['17時', '47%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
30,海山館,ChIJD1nN8Bx2bjQROWmNnLkI_Iw,"['tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",23.0014144,120.1626313,4,493,"['全部', '古蹟', '建築', '老街', '文化', '巷', '牆', '安平古堡', '政府', '販賣']",[]
31,安平劍獅埕,ChIJL5Dhuxx2bjQRUcjVq8bY2SQ,"['tourist_attraction', 'point_of_interest', 'establishment']",22.999942,120.163629,4,329,"['全部', '老街', '童玩', '文化', '市集', '可愛', '假日', '小朋友', '雕像', '廁所']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '0%'], ['10時', '6%'], ['11時', '12%'], ['12時', '31%'], ['13時', '62%'], ['14時', '87%'], ['15時', '93%'], ['16時', '81%'], ['17時', '56%'], ['18時', '31%'], ['19時', '6%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
32,黑橋牌香腸博物館,ChIJOaMiYd51bjQR5h4F5D6kcJk,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.979734,120.1843038,4.1,6131,"['全部', '香腸', '觀光工廠', '懷舊', '復古', '品牌', '販賣部', '熟食', '展場', '製造', '寓教於樂']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '13%'], ['10時', '19%'], ['11時', '25%'], ['12時', '30%'], ['13時', '32%'], ['14時', '31%'], ['15時', '27%'], ['16時', '22%'], ['17時', '16%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
33,安平古堡,ChIJZ-TjeHN2bjQR8a3Jat0VHps,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0015093,120.1606244,4.3,16409,"['全部', '小吃', '假日', '攤販', '磚', '遊客', '懷舊', '砲台', '市集']","[['6時', '0%'], ['7時', '0%'], ['8時', '15%'], ['9時', '28%'], ['10時', '40%'], ['目前繁忙程度：100%', '51%)'], ['12時', '58%'], ['13時', '65%'], ['14時', '72%'], ['15時', '78%'], ['16時', '77%'], ['17時', '66%'], ['18時', '48%'], ['19時', '28%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
34,安平開臺天后宮,ChIJY7RrRh12bjQRncBHmaoGt4Q,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.0006638,120.1606903,4.5,710,"['全部', '廟宇', '歷史', '信仰', '攤販', '慈悲', '供奉', '日治時期']","[['4時', '0%'], ['5時', '1%'], ['6時', '14%'], ['7時', '59%'], ['8時', '100%'], ['9時', '95%'], ['10時', '87%'], ['目前繁忙程度：56%', '67%)'], ['12時', '43%'], ['13時', '33%'], ['14時', '30%'], ['15時', '28%'], ['16時', '24%'], ['17時', '19%'], ['18時', '14%'], ['19時', '9%'], ['20時', '5%'], ['21時', '2%']]"
35,安平蚵灰窯文化館,ChIJ12hEiBt2bjQRIPCZCMYAzws,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.0023418,120.1649846,3.9,308,"['全部', '知識', '蚵仔', '廁所', '牆', '門票', '停車場', '展覽館', '綠', '空調', '夏天']",[]
36,安平鹽神白沙灘公園,ChIJ11CzTabYbTQREQ4eR--WYk4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.0018162,120.1563448,4,2449,"['全部', '沙', '玩', '生日', '夕陽', '顏色', '沖洗', '遊客', '防曬']","[['6時', '0%'], ['7時', '0%'], ['8時', '34%'], ['9時', '58%'], ['10時', '68%'], ['目前繁忙程度：100%', '64%)'], ['12時', '62%'], ['13時', '70%'], ['14時', '80%'], ['15時', '80%'], ['16時', '68%'], ['17時', '47%'], ['18時', '26%'], ['19時', '9%'], ['20時', '1%'], ['21時', '1%'], ['22時', '1%'], ['23時', '0%']]"
37,?埕北極殿,ChIJvcESesR1bjQRdD6B3kbhM4U,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.968809,120.1884627,4.3,180,[],[]
38,朱玖瑩故居(因鹽玖定),ChIJ_____wN2bjQRPltMc7uJ0zI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.0033747,120.1600684,4,262,"['全部', '書法', '作品', '樓', '建築', '宿舍', '門票', '樹屋', '展覽館', '規劃']",[]
39,國立臺南生活美學館,ChIJB5XdKHJ2bjQRVI5paav5Nzc,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9920962,120.1874149,4.1,1499,"['全部', '展覽', '課程', '休閒', '展場', '教室', '蚊子', '閱讀', '志工', '動線']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '58%'], ['10時', '60%'], ['11時', '56%'], ['12時', '55%'], ['13時', '59%'], ['14時', '63%'], ['15時', '61%'], ['16時', '53%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
40,鄭成功文物館,ChIJvRCasYd2bjQRkHyuV_FbLuk,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9873691,120.2082281,4.3,3116,"['全部', '環境', '散步', '廟', '松鼠', '休閒', '樹', '展場', '洋芋片', '販賣部', '志工']",[]
41,神農街,ChIJqctagGZ2bjQRGlAjSFrC5hE,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9975171,120.1964949,4.2,14168,"['全部', '文創', '文青', '巷', '燈籠', '懷舊', '販賣機', '商業化', '文藝', '時空']","[['4時', '0%'], ['5時', '1%'], ['6時', '1%'], ['7時', '3%'], ['8時', '12%'], ['9時', '26%'], ['10時', '39%'], ['目前繁忙程度：80%', '50%)'], ['12時', '59%'], ['13時', '68%'], ['14時', '78%'], ['15時', '89%'], ['16時', '98%'], ['17時', '100%'], ['18時', '92%'], ['19時', '77%'], ['20時', '59%'], ['21時', '42%'], ['22時', '30%'], ['23時', '22%'], ['0時', '17%'], ['1時', '14%'], ['2時', '10%'], ['3時', '5%']]"
42,五妃廟,ChIJhwqMKn52bjQRjs-gz337hJY,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",22.981974,120.204977,4.1,611,"['全部', '古蹟', '建築', '寧靜', '榕樹']","[['6時', '0%'], ['7時', '0%'], ['8時', '8%'], ['9時', '2%'], ['10時', '2%'], ['11時', '2%'], ['12時', '11%'], ['13時', '40%'], ['14時', '62%'], ['15時', '71%'], ['16時', '62%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
43,台南武聖夜市,ChIJc9IkfkJ2bjQRD5USkR9J1ck,"['tourist_attraction', 'point_of_interest', 'establishment']",23.003458,120.1905098,4.3,15162,"['全部', '停車位', '星期三', '規劃', '射箭', '區', '歷史', '多人', '腸', '香蕉', '蚵嗲']",[]
44,國立臺灣文學館 (原臺南州廳),ChIJcfdsmWJ2bjQRSb4_CGnFR0E,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9919771,120.2044915,4.5,6558,"['全部', '閱讀', '日治時期', '悠閒', '圖書館', '展場', '聖誕節', '作品', '文藝', '認識']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '23%'], ['10時', '28%'], ['11時', '31%'], ['12時', '34%'], ['13時', '38%'], ['14時', '43%'], ['15時', '43%'], ['16時', '35%'], ['17時', '24%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
45,臺南市立臺南文化中心,ChIJYUOPRyd0bjQRivbrqFsMKuU,"['tourist_attraction', 'point_of_interest', 'establishment']",22.9747562,120.2215652,4.3,5148,"['全部', '散步', '休閒', '環境', '文藝', '演出', '寶可夢', '池塘', '松鼠', '演奏']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '55%'], ['10時', '61%'], ['目前繁忙程度：100%', '64%)'], ['12時', '66%'], ['13時', '72%'], ['14時', '83%'], ['15時', '95%'], ['16時', '100%'], ['17時', '0%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
46,原台南測候所,ChIJq7vR14l2bjQRhmlNkSlt5vk,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",22.9936765,120.2050336,4.3,444,"['全部', '建築', '觀察', '知識', '氣候', '磚', '3月', '寓教於樂', '平面', '志工', '白色']",[]
47,吳園藝文中心,ChIJgcp5wol2bjQRdslnxYwK30Y,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22.9943733,120.2059555,4.4,5025,"['全部', '庭園', '建築', '古蹟', '休閒', '草地', '區', '寧靜', '放空', '池塘', '日據時代']","[['6時', '0%'], ['7時', '4%'], ['8時', '23%'], ['9時', '45%'], ['10時', '60%'], ['目前繁忙程度：78%', '64%)'], ['12時', '60%'], ['13時', '60%'], ['14時', '68%'], ['15時', '83%'], ['16時', '97%'], ['17時', '100%'], ['18時', '89%'], ['19時', '68%'], ['20時', '45%'], ['21時', '26%'], ['22時', '14%'], ['23時', '0%']]"
48,奇美博物館,ChIJq6qqqnp0bjQRpvTHZeYTjKg,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",22.9345608,120.2260268,4.6,46887,"['全部', '館藏', '草地', '標本', '常設', '腹地', '人文', '演奏']","[['6時', '0%'], ['7時', '0%'], ['8時', '0%'], ['9時', '27%'], ['10時', '40%'], ['11時', '53%'], ['12時', '61%'], ['13時', '64%'], ['14時', '66%'], ['15時', '81%'], ['16時', '100%'], ['17時', '89%'], ['18時', '0%'], ['19時', '0%'], ['20時', '0%'], ['21時', '0%'], ['22時', '0%'], ['23時', '0%']]"
